"X","node","phen1","phen2","celltype","condition","corr","Method"
55,"IN_PVALB_CHC:TG:GAD2","AD_c15x","Age","IN_PVALB_CHC","AD",0.0941896861833761,"Gene
Import
ance
Score"
56,"IN_LAMP5_RELN:TF:ARX","AD_c15x","Age","IN_LAMP5_RELN","Control",0.0730116514330797,"Gene
Import
ance
Score"
57,"IN_LAMP5_RELN:TF:ARX","AD_c15x","Age","IN_LAMP5_RELN","AD",0.23927044243939,"Gene
Import
ance
Score"
58,"IN_LAMP5_RELN:TF:DLX1","AD_c15x","Age","IN_LAMP5_RELN","Control",0.0412960496527634,"Gene
Import
ance
Score"
59,"IN_LAMP5_RELN:TF:DLX1","AD_c15x","Age","IN_LAMP5_RELN","AD",0.00755555903311854,"Gene
Import
ance
Score"
60,"IN_LAMP5_RELN:TF:TCF4","AD_c15x","Age","IN_LAMP5_RELN","Control",0.108071343069618,"Gene
Import
ance
Score"
61,"IN_LAMP5_RELN:TF:TCF4","AD_c15x","Age","IN_LAMP5_RELN","AD",0.00818333453483787,"Gene
Import
ance
Score"
62,"IN_LAMP5_RELN:TG:DLX6-AS1","AD_c15x","Age","IN_LAMP5_RELN","Control",0.0432410651460368,"Gene
Import
ance
Score"
63,"IN_LAMP5_RELN:TG:DLX6-AS1","AD_c15x","Age","IN_LAMP5_RELN","AD",0.0123216940817398,"Gene
Import
ance
Score"
64,"IN_LAMP5_RELN:TG:GAD1","AD_c15x","Age","IN_LAMP5_RELN","Control",0.155915878217997,"Gene
Import
ance
Score"
65,"IN_LAMP5_RELN:TG:GAD1","AD_c15x","Age","IN_LAMP5_RELN","AD",0.0285224098387357,"Gene
Import
ance
Score"
66,"IN_LAMP5_RELN:TG:GAD2","AD_c15x","Age","IN_LAMP5_RELN","Control",0.170264005406941,"Gene
Import
ance
Score"
67,"IN_LAMP5_RELN:TG:GAD2","AD_c15x","Age","IN_LAMP5_RELN","AD",0.0615962883718354,"Gene
Import
ance
Score"
68,"IN_LAMP5_RELN:TG:SYNPR","AD_c15x","Age","IN_LAMP5_RELN","Control",0.21734552660206,"Gene
Import
ance
Score"
69,"IN_LAMP5_RELN:TG:SYNPR","AD_c15x","Age","IN_LAMP5_RELN","AD",0.0361378448154608,"Gene
Import
ance
Score"
70,"EN_L3_5_IT_1:TF:ZMAT4","AD_c15x","Age","EN_L3_5_IT_1","Control",0.0599876425600951,"Gene
Import
ance
Score"
71,"EN_L3_5_IT_1:TF:ZMAT4","AD_c15x","Age","EN_L3_5_IT_1","AD",0.0344505056978996,"Gene
Import
ance
Score"
72,"IN_ADARB2:TF:DLX1","AD_c15x","Age","IN_ADARB2","Control",0.0751573824593537,"Gene
Import
ance
Score"
73,"IN_ADARB2:TF:DLX1","AD_c15x","Age","IN_ADARB2","AD",0.0792478786019501,"Gene
Import
ance
Score"
74,"IN_ADARB2:TF:TCF4","AD_c15x","Age","IN_ADARB2","Control",0.0614419359458842,"Gene
Import
ance
Score"
75,"IN_ADARB2:TF:TCF4","AD_c15x","Age","IN_ADARB2","AD",0.0340139981442666,"Gene
Import
ance
Score"
76,"IN_ADARB2:TG:BTBD11","AD_c15x","Age","IN_ADARB2","Control",0.131833928448935,"Gene
Import
ance
Score"
77,"IN_ADARB2:TG:BTBD11","AD_c15x","Age","IN_ADARB2","AD",0.0483735482976516,"Gene
Import
ance
Score"
78,"IN_ADARB2:TG:DLX6-AS1","AD_c15x","Age","IN_ADARB2","Control",0.118880532701604,"Gene
Import
ance
Score"
79,"IN_ADARB2:TG:DLX6-AS1","AD_c15x","Age","IN_ADARB2","AD",0.0744306807243522,"Gene
Import
ance
Score"
80,"IN_ADARB2:TG:GAD1","AD_c15x","Age","IN_ADARB2","Control",0.121136092530342,"Gene
Import
ance
Score"
81,"IN_ADARB2:TG:GAD1","AD_c15x","Age","IN_ADARB2","AD",0.0481430604985534,"Gene
Import
ance
Score"
82,"IN_ADARB2:TG:GAD2","AD_c15x","Age","IN_ADARB2","Control",0.0716339773827005,"Gene
Import
ance
Score"
83,"IN_ADARB2:TG:GAD2","AD_c15x","Age","IN_ADARB2","AD",0.12167923814161,"Gene
Import
ance
Score"
84,"IN_ADARB2:TG:SYNPR","AD_c15x","Age","IN_ADARB2","Control",0.0227033510881134,"Gene
Import
ance
Score"
85,"IN_ADARB2:TG:SYNPR","AD_c15x","Age","IN_ADARB2","AD",0.0297709212655494,"Gene
Import
ance
Score"
86,"OPC:TF:SOX6","AD_c15x","Age","OPC","Control",0.0419862193514693,"Gene
Import
ance
Score"
87,"OPC:TF:SOX6","AD_c15x","Age","OPC","AD",0.0904087251054092,"Gene
Import
ance
Score"
88,"OPC:TF:ZEB1","AD_c15x","Age","OPC","Control",0.0495068811259771,"Gene
Import
ance
Score"
89,"OPC:TF:ZEB1","AD_c15x","Age","OPC","AD",0.0884613291176733,"Gene
Import
ance
Score"
90,"OPC:TG:NXPH1","AD_c15x","Age","OPC","Control",0.0146766374025208,"Gene
Import
ance
Score"
91,"OPC:TG:NXPH1","AD_c15x","Age","OPC","AD",0.137538977472398,"Gene
Import
ance
Score"
92,"OPC:TG:SOX6","AD_c15x","Age","OPC","Control",0.304343378273243,"Gene
Import
ance
Score"
93,"OPC:TG:SOX6","AD_c15x","Age","OPC","AD",0.0840828013892839,"Gene
Import
ance
Score"
94,"EN_L3_5_IT_2:TF:ZMAT4","AD_c15x","Age","EN_L3_5_IT_2","Control",0.0223023460586887,"Gene
Import
ance
Score"
95,"EN_L3_5_IT_2:TF:ZMAT4","AD_c15x","Age","EN_L3_5_IT_2","AD",0.00909851345015518,"Gene
Import
ance
Score"
96,"Micro:TF:IRF8","AD_c15x","Age","Micro","Control",0.140478276273361,"Gene
Import
ance
Score"
97,"Micro:TF:IRF8","AD_c15x","Age","Micro","AD",0.0870239337412737,"Gene
Import
ance
Score"
98,"Micro:TF:NFATC2","AD_c15x","Age","Micro","Control",0.189096507894205,"Gene
Import
ance
Score"
99,"Micro:TF:NFATC2","AD_c15x","Age","Micro","AD",0.12109360917532,"Gene
Import
ance
Score"
100,"Micro:TF:REL","AD_c15x","Age","Micro","Control",0.112473065335743,"Gene
Import
ance
Score"
101,"Micro:TF:REL","AD_c15x","Age","Micro","AD",0.0978319095581855,"Gene
Import
ance
Score"
102,"Micro:TF:TAL1","AD_c15x","Age","Micro","Control",0.0624848947703572,"Gene
Import
ance
Score"
103,"Micro:TF:TAL1","AD_c15x","Age","Micro","AD",0.0709726480520355,"Gene
Import
ance
Score"
104,"Micro:TG:ADAM28","AD_c15x","Age","Micro","Control",0.0414512861524248,"Gene
Import
ance
Score"
105,"Micro:TG:ADAM28","AD_c15x","Age","Micro","AD",0.0647468824425322,"Gene
Import
ance
Score"
106,"Micro:TG:BLNK","AD_c15x","Age","Micro","Control",0.0164162512024399,"Gene
Import
ance
Score"
107,"Micro:TG:BLNK","AD_c15x","Age","Micro","AD",0.00585635209275316,"Gene
Import
ance
Score"
108,"Micro:TG:CSF1R","AD_c15x","Age","Micro","Control",0.0102461422795592,"Gene
Import
ance
Score"
109,"Micro:TG:CSF1R","AD_c15x","Age","Micro","AD",0.0384669174411171,"Gene
Import
ance
Score"
110,"Micro:TG:DOCK8","AD_c15x","Age","Micro","Control",0.135719363359886,"Gene
Import
ance
Score"
111,"Micro:TG:DOCK8","AD_c15x","Age","Micro","AD",0.116943033247372,"Gene
Import
ance
Score"
112,"Micro:TG:FLI1","AD_c15x","Age","Micro","Control",0.109312888684736,"Gene
Import
ance
Score"
113,"Micro:TG:FLI1","AD_c15x","Age","Micro","AD",0.0378078693016915,"Gene
Import
ance
Score"
114,"Micro:TG:IKZF1","AD_c15x","Age","Micro","Control",0.0797214637459911,"Gene
Import
ance
Score"
115,"Micro:TG:IKZF1","AD_c15x","Age","Micro","AD",0.0691869631482468,"Gene
Import
ance
Score"
116,"Micro:TG:PALD1","AD_c15x","Age","Micro","Control",0.138483768086847,"Gene
Import
ance
Score"
117,"Micro:TG:PALD1","AD_c15x","Age","Micro","AD",0.125973672197164,"Gene
Import
ance
Score"
118,"Micro:TG:PTPRC","AD_c15x","Age","Micro","Control",0.000213473444791234,"Gene
Import
ance
Score"
119,"Micro:TG:PTPRC","AD_c15x","Age","Micro","AD",0.0681146004908875,"Gene
Import
ance
Score"
120,"Micro:TG:RUNX1","AD_c15x","Age","Micro","Control",0.113514498115498,"Gene
Import
ance
Score"
121,"Micro:TG:RUNX1","AD_c15x","Age","Micro","AD",0.0984042095513774,"Gene
Import
ance
Score"
122,"Micro:TG:SYK","AD_c15x","Age","Micro","Control",0.136603070271182,"Gene
Import
ance
Score"
123,"Micro:TG:SYK","AD_c15x","Age","Micro","AD",0.0142090917384282,"Gene
Import
ance
Score"
124,"IN_LAMP5_LHX6:TF:ARX","AD_c15x","Age","IN_LAMP5_LHX6","Control",0.346606947474513,"Gene
Import
ance
Score"
125,"IN_LAMP5_LHX6:TF:ARX","AD_c15x","Age","IN_LAMP5_LHX6","AD",0.0227334141257227,"Gene
Import
ance
Score"
126,"IN_LAMP5_LHX6:TF:LHX6","AD_c15x","Age","IN_LAMP5_LHX6","Control",0.235254059391958,"Gene
Import
ance
Score"
127,"IN_LAMP5_LHX6:TF:LHX6","AD_c15x","Age","IN_LAMP5_LHX6","AD",0.116262274095652,"Gene
Import
ance
Score"
128,"IN_LAMP5_LHX6:TF:TCF4","AD_c15x","Age","IN_LAMP5_LHX6","Control",0.0612770439855105,"Gene
Import
ance
Score"
129,"IN_LAMP5_LHX6:TF:TCF4","AD_c15x","Age","IN_LAMP5_LHX6","AD",0.0770331975294115,"Gene
Import
ance
Score"
130,"IN_LAMP5_LHX6:TG:DLX6-AS1","AD_c15x","Age","IN_LAMP5_LHX6","Control",0.150259443004622,"Gene
Import
ance
Score"
131,"IN_LAMP5_LHX6:TG:DLX6-AS1","AD_c15x","Age","IN_LAMP5_LHX6","AD",0.161530995784124,"Gene
Import
ance
Score"
132,"IN_LAMP5_LHX6:TG:GAD1","AD_c15x","Age","IN_LAMP5_LHX6","Control",0.305998018880417,"Gene
Import
ance
Score"
133,"IN_LAMP5_LHX6:TG:GAD1","AD_c15x","Age","IN_LAMP5_LHX6","AD",0.0667437408546064,"Gene
Import
ance
Score"
134,"IN_LAMP5_LHX6:TG:GAD2","AD_c15x","Age","IN_LAMP5_LHX6","Control",0.321125699232204,"Gene
Import
ance
Score"
135,"IN_LAMP5_LHX6:TG:GAD2","AD_c15x","Age","IN_LAMP5_LHX6","AD",0.0943955368499929,"Gene
Import
ance
Score"
136,"IN_LAMP5_LHX6:TG:SYNPR","AD_c15x","Age","IN_LAMP5_LHX6","Control",0.165818239030798,"Gene
Import
ance
Score"
137,"IN_LAMP5_LHX6:TG:SYNPR","AD_c15x","Age","IN_LAMP5_LHX6","AD",0.0606237087717051,"Gene
Import
ance
Score"
138,"IN_PVALB:TF:ARX","AD_c15x","Age","IN_PVALB","Control",0.163150262143683,"Gene
Import
ance
Score"
139,"IN_PVALB:TF:ARX","AD_c15x","Age","IN_PVALB","AD",0.0744069572470926,"Gene
Import
ance
Score"
140,"IN_PVALB:TF:LHX6","AD_c15x","Age","IN_PVALB","Control",0.0194697222916382,"Gene
Import
ance
Score"
141,"IN_PVALB:TF:LHX6","AD_c15x","Age","IN_PVALB","AD",0.00298241956789988,"Gene
Import
ance
Score"
142,"IN_PVALB:TF:TCF4","AD_c15x","Age","IN_PVALB","Control",0.164156803940453,"Gene
Import
ance
Score"
143,"IN_PVALB:TF:TCF4","AD_c15x","Age","IN_PVALB","AD",0.0627702666206212,"Gene
Import
ance
Score"
144,"IN_PVALB:TF:ZMAT4","AD_c15x","Age","IN_PVALB","Control",0.114556870059681,"Gene
Import
ance
Score"
145,"IN_PVALB:TF:ZMAT4","AD_c15x","Age","IN_PVALB","AD",0.157733284463136,"Gene
Import
ance
Score"
146,"IN_PVALB:TG:BTBD11","AD_c15x","Age","IN_PVALB","Control",0.254159060825977,"Gene
Import
ance
Score"
147,"IN_PVALB:TG:BTBD11","AD_c15x","Age","IN_PVALB","AD",0.250629411672875,"Gene
Import
ance
Score"
148,"IN_PVALB:TG:DLX6-AS1","AD_c15x","Age","IN_PVALB","Control",0.316861336337411,"Gene
Import
ance
Score"
149,"IN_PVALB:TG:DLX6-AS1","AD_c15x","Age","IN_PVALB","AD",0.190435130322326,"Gene
Import
ance
Score"
150,"IN_PVALB:TG:GAD1","AD_c15x","Age","IN_PVALB","Control",0.064642363416074,"Gene
Import
ance
Score"
151,"IN_PVALB:TG:GAD1","AD_c15x","Age","IN_PVALB","AD",0.0431518029871922,"Gene
Import
ance
Score"
152,"IN_PVALB:TG:GAD2","AD_c15x","Age","IN_PVALB","Control",0.00708825599595396,"Gene
Import
ance
Score"
153,"IN_PVALB:TG:GAD2","AD_c15x","Age","IN_PVALB","AD",0.041623394490465,"Gene
Import
ance
Score"
154,"IN_PVALB:TG:LHX6","AD_c15x","Age","IN_PVALB","Control",0.0245654133488595,"Gene
Import
ance
Score"
155,"IN_PVALB:TG:LHX6","AD_c15x","Age","IN_PVALB","AD",0.158842300415042,"Gene
Import
ance
Score"
156,"IN_PVALB:TG:NXPH1","AD_c15x","Age","IN_PVALB","Control",0.0121795711213478,"Gene
Import
ance
Score"
157,"IN_PVALB:TG:NXPH1","AD_c15x","Age","IN_PVALB","AD",0.0988492001103743,"Gene
Import
ance
Score"
158,"IN_PVALB:TG:SYNPR","AD_c15x","Age","IN_PVALB","Control",0.0797071865690583,"Gene
Import
ance
Score"
159,"IN_PVALB:TG:SYNPR","AD_c15x","Age","IN_PVALB","AD",0.141646235748644,"Gene
Import
ance
Score"
160,"IN_SST:TF:ARX","AD_c15x","Age","IN_SST","Control",0.0945690321045602,"Gene
Import
ance
Score"
161,"IN_SST:TF:ARX","AD_c15x","Age","IN_SST","AD",0.0576428822005257,"Gene
Import
ance
Score"
162,"IN_SST:TF:DLX1","AD_c15x","Age","IN_SST","Control",0.00412760356772703,"Gene
Import
ance
Score"
163,"IN_SST:TF:DLX1","AD_c15x","Age","IN_SST","AD",0.0884054723613129,"Gene
Import
ance
Score"
164,"IN_SST:TF:LHX6","AD_c15x","Age","IN_SST","Control",0.0306545742482401,"Gene
Import
ance
Score"
165,"IN_SST:TF:LHX6","AD_c15x","Age","IN_SST","AD",0.0499845621866155,"Gene
Import
ance
Score"
166,"IN_SST:TF:TCF4","AD_c15x","Age","IN_SST","Control",0.174938460637721,"Gene
Import
ance
Score"
167,"IN_SST:TF:TCF4","AD_c15x","Age","IN_SST","AD",0.0612395472099471,"Gene
Import
ance
Score"
168,"IN_SST:TG:BTBD11","AD_c15x","Age","IN_SST","Control",0.137014095134769,"Gene
Import
ance
Score"
169,"IN_SST:TG:BTBD11","AD_c15x","Age","IN_SST","AD",0.110779239943981,"Gene
Import
ance
Score"
170,"IN_SST:TG:DLX6-AS1","AD_c15x","Age","IN_SST","Control",0.0684364374701956,"Gene
Import
ance
Score"
171,"IN_SST:TG:DLX6-AS1","AD_c15x","Age","IN_SST","AD",0.092994910729128,"Gene
Import
ance
Score"
172,"IN_SST:TG:GAD1","AD_c15x","Age","IN_SST","Control",0.137423070801866,"Gene
Import
ance
Score"
173,"IN_SST:TG:GAD1","AD_c15x","Age","IN_SST","AD",0.0167392574077817,"Gene
Import
ance
Score"
174,"IN_SST:TG:GAD2","AD_c15x","Age","IN_SST","Control",0.0870147090802457,"Gene
Import
ance
Score"
175,"IN_SST:TG:GAD2","AD_c15x","Age","IN_SST","AD",0.126446759411697,"Gene
Import
ance
Score"
176,"IN_SST:TG:LHX6","AD_c15x","Age","IN_SST","Control",0.138868202978871,"Gene
Import
ance
Score"
177,"IN_SST:TG:LHX6","AD_c15x","Age","IN_SST","AD",0.106596303412695,"Gene
Import
ance
Score"
178,"IN_SST:TG:NXPH1","AD_c15x","Age","IN_SST","Control",0.0877770532768384,"Gene
Import
ance
Score"
179,"IN_SST:TG:NXPH1","AD_c15x","Age","IN_SST","AD",0.0926911317296242,"Gene
Import
ance
Score"
180,"IN_SST:TG:SYNPR","AD_c15x","Age","IN_SST","Control",0.270516093334242,"Gene
Import
ance
Score"
181,"IN_SST:TG:SYNPR","AD_c15x","Age","IN_SST","AD",0.0138588793186306,"Gene
Import
ance
Score"
182,"Immune:TF:RUNX3","AD_c15x","Age","Immune","Control",0.153169765835551,"Gene
Import
ance
Score"
183,"Immune:TF:RUNX3","AD_c15x","Age","Immune","AD",0.0278779214140884,"Gene
Import
ance
Score"
184,"Astro:TF:SOX5","AD_c15x","Age","Astro","Control",0.120853789569927,"Gene
Import
ance
Score"
185,"Astro:TF:SOX5","AD_c15x","Age","Astro","AD",0.179446590935922,"Gene
Import
ance
Score"
186,"Astro:TF:TCF7L1","AD_c15x","Age","Astro","Control",0.172334484016239,"Gene
Import
ance
Score"
187,"Astro:TF:TCF7L1","AD_c15x","Age","Astro","AD",0.0300487845306722,"Gene
Import
ance
Score"
188,"Astro:TF:TCF7L2","AD_c15x","Age","Astro","Control",0.0796863142690945,"Gene
Import
ance
Score"
189,"Astro:TF:TCF7L2","AD_c15x","Age","Astro","AD",0.00582959595502,"Gene
Import
ance
Score"
190,"Endo:TF:GATA2","AD_c15x","Age","Endo","Control",0.137129226515296,"Gene
Import
ance
Score"
191,"Endo:TF:GATA2","AD_c15x","Age","Endo","AD",0.0104242674560203,"Gene
Import
ance
Score"
192,"Endo:TG:ATP10A","AD_c15x","Age","Endo","Control",0.153992035002716,"Gene
Import
ance
Score"
193,"Endo:TG:ATP10A","AD_c15x","Age","Endo","AD",0.122704476125376,"Gene
Import
ance
Score"
194,"Endo:TG:ERG","AD_c15x","Age","Endo","Control",0.147030440136431,"Gene
Import
ance
Score"
195,"Endo:TG:ERG","AD_c15x","Age","Endo","AD",0.0525425330324544,"Gene
Import
ance
Score"
196,"Endo:TG:MECOM","AD_c15x","Age","Endo","Control",0.0961614427538285,"Gene
Import
ance
Score"
197,"Endo:TG:MECOM","AD_c15x","Age","Endo","AD",0.0908726143385257,"Gene
Import
ance
Score"
198,"VLMC:TG:EBF1","AD_c15x","Age","VLMC","Control",0.250258562748465,"Gene
Import
ance
Score"
199,"VLMC:TG:EBF1","AD_c15x","Age","VLMC","AD",0.14174040334305,"Gene
Import
ance
Score"
200,"IN_VIP:TF:DLX1","AD_c15x","Age","IN_VIP","Control",0.107817391796901,"Gene
Import
ance
Score"
201,"IN_VIP:TF:DLX1","AD_c15x","Age","IN_VIP","AD",0.0832540415872447,"Gene
Import
ance
Score"
202,"IN_VIP:TF:TCF4","AD_c15x","Age","IN_VIP","Control",0.109857776028933,"Gene
Import
ance
Score"
203,"IN_VIP:TF:TCF4","AD_c15x","Age","IN_VIP","AD",0.0955652046778087,"Gene
Import
ance
Score"
204,"IN_VIP:TF:ZMAT4","AD_c15x","Age","IN_VIP","Control",0.0738976962258412,"Gene
Import
ance
Score"
205,"IN_VIP:TF:ZMAT4","AD_c15x","Age","IN_VIP","AD",0.0809954464299192,"Gene
Import
ance
Score"
206,"IN_VIP:TG:BTBD11","AD_c15x","Age","IN_VIP","Control",0.00286848005920007,"Gene
Import
ance
Score"
207,"IN_VIP:TG:BTBD11","AD_c15x","Age","IN_VIP","AD",0.0517584623597217,"Gene
Import
ance
Score"
208,"IN_VIP:TG:DLX6-AS1","AD_c15x","Age","IN_VIP","Control",0.106934484608251,"Gene
Import
ance
Score"
209,"IN_VIP:TG:DLX6-AS1","AD_c15x","Age","IN_VIP","AD",0.0106580466907762,"Gene
Import
ance
Score"
210,"IN_VIP:TG:GAD1","AD_c15x","Age","IN_VIP","Control",0.145081553957526,"Gene
Import
ance
Score"
211,"IN_VIP:TG:GAD1","AD_c15x","Age","IN_VIP","AD",0.00480741009126754,"Gene
Import
ance
Score"
212,"IN_VIP:TG:GAD2","AD_c15x","Age","IN_VIP","Control",0.221957854444847,"Gene
Import
ance
Score"
213,"IN_VIP:TG:GAD2","AD_c15x","Age","IN_VIP","AD",0.0450426930760223,"Gene
Import
ance
Score"
214,"IN_VIP:TG:SYNPR","AD_c15x","Age","IN_VIP","Control",0.0963935760633306,"Gene
Import
ance
Score"
215,"IN_VIP:TG:SYNPR","AD_c15x","Age","IN_VIP","AD",0.0283873542239027,"Gene
Import
ance
Score"
216,"Oligo:TF:TCF12","AD_c15x","PLAQUE","Oligo","Control",0.098711975572281,"Gene
Import
ance
Score"
217,"Oligo:TF:TCF12","AD_c15x","PLAQUE","Oligo","AD",0.0490916841892572,"Gene
Import
ance
Score"
218,"Oligo:TG:ADAM28","AD_c15x","PLAQUE","Oligo","Control",0.0680801937161598,"Gene
Import
ance
Score"
219,"Oligo:TG:ADAM28","AD_c15x","PLAQUE","Oligo","AD",0.11789011129696,"Gene
Import
ance
Score"
220,"Oligo:TG:APBB1IP","AD_c15x","PLAQUE","Oligo","Control",0.0953163764805595,"Gene
Import
ance
Score"
221,"Oligo:TG:APBB1IP","AD_c15x","PLAQUE","Oligo","AD",0.0645970769237114,"Gene
Import
ance
Score"
